Ticket_ID,Created_Date,Resolved_Date,Priority,Status,Channel,Category,Agent_ID,Customer_Name,Resolution_Time_Hours,SLA_Breached,Customer_Satisfaction
T00001,2025-03-15 00:00:00,2025-03-16 10:00:00,Medium,Resolved,Portal,Access Request,A013,Gary Harrell,34,No,2
T00002,2025-04-23 00:00:00,2025-04-23 18:00:00,Critical,Open,Email,Login Issue,A005,Brittany Juarez,18,Yes,5
T00003,2026-02-10 00:00:00,2026-02-13 16:00:00,Low,Closed,Portal,Access Request,A015,Alicia Willis,88,No,4
T00004,2025-10-11 00:00:00,2025-10-15 15:00:00,Low,Resolved,Chat,Login Issue,A010,Leslie Wood,111,No,1
T00005,2025-03-22 00:00:00,2025-03-24 11:00:00,High,In Progress,Email,Software Bug,A021,Andrea Baker,59,Yes,1
T00006,2025-03-20 00:00:00,2025-03-22 00:00:00,Low,Resolved,Portal,Login Issue,A004,Daniel Shepard,48,No,2
T00007,2026-03-26 00:00:00,2026-03-30 11:00:00,Medium,Open,Phone,Access Request,A003,Gail Mcknight,107,Yes,3
T00008,2026-01-10 00:00:00,2026-01-12 15:00:00,Medium,In Progress,Portal,Access Request,A006,Mark Le,63,No,1
T00009,2025-09-28 00:00:00,2025-10-02 16:00:00,Critical,In Progress,Phone,Software Bug,A013,Jennifer Brown,112,No,5
T00010,2025-08-13 00:00:00,2025-08-17 20:00:00,Critical,Open,Phone,Network Issue,A003,Mary Collins,116,No,5
T00011,2025-01-11 00:00:00,2025-01-14 04:00:00,Medium,In Progress,Email,Login Issue,A023,Kurt Morris,76,Yes,5
T00012,2025-04-28 00:00:00,2025-04-28 09:00:00,High,Open,Phone,Software Bug,A022,Rachel Peterson,9,No,1
T00013,2025-04-20 00:00:00,2025-04-22 22:00:00,Critical,In Progress,Portal,Hardware Failure,A007,Nicholas Weaver,70,Yes,2
T00014,2025-02-19 00:00:00,2025-02-22 13:00:00,High,Closed,Portal,Hardware Failure,A024,Shawn Delacruz,85,Yes,4
T00015,2025-12-11 00:00:00,2025-12-14 12:00:00,Low,Closed,Chat,Login Issue,A008,Christina Maynard,84,Yes,1
